date,open,close,high,low,volume,money
2022-02-21,19.12,19.49,19.69,18.93,99122517.0,1912526227.0
2022-02-22,19.31,19.44,19.72,19.21,92155788.0,1788757118.0
2022-02-23,19.44,19.08,19.48,18.85,97375006.0,1852695470.0
2022-02-24,18.97,18.68,19.19,18.46,93432477.0,1752828027.0
2022-02-25,18.79,18.39,18.86,18.31,94937881.0,1758871460.0
2022-02-28,18.36,18.08,18.36,17.88,91537870.0,1652652682.0
2022-03-01,18.09,18.25,18.3,17.99,86636994.0,1570307864.0
2022-03-02,18.28,18.19,18.52,17.99,94738786.0,1727309496.0
2022-03-03,18.22,18.35,18.58,18.21,140079349.0,2574130001.0
2022-03-04,18.17,17.62,18.17,17.28,227032624.0,3984274057.0
2022-03-07,17.46,17.46,17.8,17.26,126722551.0,2216789146.0
2022-03-08,17.37,16.64,17.42,16.56,168188844.0,2844612857.0
2022-03-09,16.73,15.99,16.79,15.11,244218154.0,3907216502.0
2022-03-10,16.18,15.79,16.26,15.75,112472124.0,1796610781.0
2022-03-11,15.4,15.68,15.77,15.09,108454621.0,1676581384.0
2022-03-14,15.42,15.15,15.96,15.1,119573222.0,1852414494.0
2022-03-15,14.88,13.94,14.96,13.91,222893032.0,3215504868.0
2022-03-16,14.31,14.6,14.88,13.59,223120753.0,3180485804.0
2022-03-17,15.45,15.71,15.89,15.33,235360036.0,3669244186.0
2022-03-18,15.48,16.43,16.53,15.35,195349699.0,3126922096.0
2022-03-21,16.27,15.82,16.27,15.72,149785871.0,2379849481.0
2022-03-22,15.59,16.55,16.73,15.57,209271013.0,3421100900.0
2022-03-23,16.62,16.86,17.27,16.12,194290356.0,3232947128.0
2022-03-24,16.55,16.46,16.95,16.4,113082220.0,1880966654.0
2022-03-25,16.29,16.39,16.86,16.11,101974467.0,1685566620.0
2022-03-28,16.1,16.73,16.86,16.02,110667508.0,1837872774.0
2022-03-29,16.6,16.46,16.8,16.38,69641770.0,1154358466.0
2022-03-30,16.53,17.87,17.94,16.45,233111593.0,4075693974.0
2022-03-31,17.23,18.03,18.97,17.21,355699832.0,6411092608.0
2022-04-01,17.84,19.45,19.72,17.78,320138565.0,6031511993.0
2022-04-06,20.07,19.98,20.62,19.46,314609055.0,6322297909.0
2022-04-07,19.68,19.69,20.38,19.47,190190516.0,3769843494.0
2022-04-08,19.69,20.24,20.34,19.26,193679210.0,3847315826.0
2022-04-11,19.82,19.53,20.23,19.21,175784969.0,3468638474.0
2022-04-12,19.7,18.99,20.01,18.8,182684506.0,3521839093.0
2022-04-13,18.93,19.3,19.95,18.69,170468007.0,3294797527.0
2022-04-14,19.44,19.77,20.39,18.97,188530615.0,3709221265.0
2022-04-15,19.62,20.06,20.6,19.51,165497282.0,3335558127.0
2022-04-18,19.66,19.33,19.85,19.16,113366679.0,2209265213.0
2022-04-19,19.34,19.45,19.49,18.52,127416245.0,2423548169.0
2022-04-20,19.24,18.22,19.36,18.08,171950453.0,3191731006.0
2022-04-21,18.13,18.17,18.7,18.07,109441336.0,2007205390.0
2022-04-22,17.99,18.65,18.93,17.89,117473268.0,2184286532.0
2022-04-25,18.46,17.73,18.82,17.7,119770277.0,2172308177.0
2022-04-26,17.7,17.85,18.41,17.56,112718706.0,2023745887.0
2022-04-27,17.57,17.17,18.09,16.69,195931349.0,3368085084.0
2022-04-28,17.15,17.61,17.92,17.0,169070771.0,2947417800.0
2022-04-29,17.66,18.25,18.62,17.32,203630307.0,3665754967.0
2022-05-05,18.38,18.3,18.65,17.67,162660359.0,2945383169.0
2022-05-06,17.86,17.41,18.01,17.34,117846029.0,2075217616.0
2022-05-09,17.41,17.4,17.78,17.21,57958227.0,1014274200.0
2022-05-10,17.18,17.48,17.64,16.87,105419734.0,1809822438.0
2022-05-11,17.42,17.38,17.56,17.16,102621831.0,1779263169.0
2022-05-12,17.25,16.93,17.37,16.74,96686486.0,1641736923.0
2022-05-13,16.95,17.58,17.61,16.86,128726767.0,2239903528.0
2022-05-16,18.08,17.78,18.16,17.3,129668727.0,2301991153.0
2022-05-17,17.7,17.96,18.46,17.52,124149558.0,2233125975.0
2022-05-18,17.9,17.72,18.05,17.39,80833503.0,1428799003.0
2022-05-19,17.42,18.13,18.22,17.39,108062079.0,1942389640.0
2022-05-20,18.27,17.8,18.35,17.48,170137539.0,3026224962.0
2022-05-23,17.63,17.28,17.75,17.23,103788079.0,1802623185.0
2022-05-24,17.23,17.06,17.44,17.03,67457041.0,1161710152.0
2022-05-25,17.07,17.16,17.17,16.95,46095567.0,785934746.0
2022-05-26,17.14,17.32,17.56,17.02,67825227.0,1174594796.0
2022-05-27,17.34,17.08,17.41,16.98,55903955.0,958935329.0
2022-05-30,17.09,16.78,17.18,16.7,93675032.0,1580456942.0
2022-05-31,16.79,16.77,16.9,16.58,99909981.0,1670901260.0
2022-06-01,16.8,16.84,17.06,16.7,85685727.0,1445560286.0
2022-06-02,16.78,16.68,16.79,16.5,81247792.0,1352806928.0
2022-06-06,16.66,16.28,16.66,16.01,164442039.0,2662740744.0
2022-06-07,16.23,16.41,16.52,16.19,100350998.0,1642075793.0
2022-06-08,16.42,16.52,16.54,16.26,78356964.0,1285204784.0
2022-06-09,16.55,16.79,16.9,16.54,106211024.0,1781400708.0
